build_year,country,make,model,avg_amount_damage
2009,LPIT,volkswagen,caddy,1389.5389999999998
2007,LPDE,opel,vectra30v6csport,0.0
2014,LPNO,citroen,c4,13348.555555555555
2011,LPPL,ford,transitconnect,1415.386
2005,LPIT,fiatel,doblo,439.2875
2014,LPFI,volkswagen,crafter,233.01
2016,LPFI,nissan,xtrail,100.46
2014,LPPL,mercedes,vito,0.0
2000,LPDE,ford,ft300ktdelkkasten,0.0
2008,LPTR,fiat,paliosole,299.6625
2017,LPNL,seat,ibiza,212.5
2008,LPIT,bmw,1serie,1248.6976543209873
2006,LPIT,bmwel,series1,1047.9593333333332
2005,LPDK,iveco,daily29l12,0.0
2017,LPLU,jaguar,xe,0.0
2018,LPNL,alfaromeo,giulia,0.0
2018,LPDE,bmw,5serie,0.0
2012,LPNO,nissan,navara,15225.166666666666
2014,LPPT,jeep,wranglerpicku,101.105
2009,LPDE,bmw,525itouringau,684.715
2006,LPDK,volkswagen,golf5drespau,1407.64
2013,LPMX,chevrolet,tahoe,0.0
2007,LPPL,bmw,x1,768.04
2008,LPIE,ssangyong,rexton,0.0
2012,LPNO,mercedes,glkclass,3011.0
2000,LPDE,audi,a627tdiquatbusinessdpf,336.31
2003,LPDK,peugeot,307stc,0.0
1998,LPSE,volkswagen,transporter33225tdipickupdhsyncro75kw102h,0.0
2011,LPSE,skoda,octavia,5601.15625
2014,LPUK,mercedes,bclass,248.1
2000,LPDE,volkswagen,passatvariantfamily,567.15
2013,LPBE,volkswagen,golf,664.7559283387623
2005,LPBE,peugeot,boxer330m,2612.2957142857144
2013,LPNO,landrover,range,27605.0
2012,LPSE,ford,ranger,7897.384615384615
2013,LPMX,mazda,5,0.0
2015,LPIT,ford,focus,1118.0706853582556
2007,LPBE,chevrolet,captiva,483.1725
2011,LPDE,bmw,318iaut,0.0
2014,LPCH,peugeot,308,1646.9524999999999
2009,LPPT,mercedes,glkclass,321.3333333333333
2008,LPGR,mazda,cx7,433.6666666666667
2008,LPDE,opel,combovc,2257.198703703704
2010,LPCH,volkswagen,passatadvance,2657.1937500000004
2012,LPSK,iveco,daily70c18,0.0
2001,LPDK,toyota,hiace2400td,0.0
2002,LPIT,toyotael,hilux,0.0
2000,LPDE,mazda,6sportkombi2exclusive,0.0
2010,LPTR,porsche,cayenne,52.53
2009,LPUK,citroen,relaycc3509,660.2833333333333
2014,LPCH,fiat,500x,0.0
2011,LPPT,opel,meriva,356.4225
2009,LPDE,mercedes,aclass,1153.286
2009,LPBE,mercedes,glclass,523.0333333333333
2013,LPRO,dacia,dokker,928.7427175438598
2013,LPMX,infiniti,jx,0.0
2013,LPLU,landrover,evoque,359.3895454545455
2011,LPUK,opel,zafira,428.91289308176067
2014,LPBE,peugeot,308,380.9424000000001
2006,LPGR,toyota,avensis,806.9444444444445
2009,LPUK,skoda,fabia,227.95439024390242
2006,LPDE,mercedes,a150classic,1188.085
2013,LPHU,skoda,rapid,55836.15833333333
2009,LPFR,audi,mini3pcooper,582.6385
2013,LPSE,ford,fiesta16tdci95hkeconetictrend5d20,0.0
2005,LPFR,ford,focusiiitrend,485.359695652174
2017,LPUK,nissan,juke,0.0
2003,LPIT,fiatel,punto,319.04
2016,LPHU,opel,corsa,32412.03947368421
2014,LPUK,citroen,c1,88.39220930232557
2009,LPFR,renault,meganeiii3p,942.5105405405405
2009,LPHU,toyota,corolla,80607.30428571429
2013,LPUK,hyundai,i40,305.31684210526316
2010,LPUK,audi,q75dr10,0.0
2008,LPDE,renault,megane15dciavantage,1717.0217647058823
2017,LPFR,peugeot,208,209.89416666666668
2017,LPDK,audi,a4,1466.41
2004,LPFR,renault,espacev19,505.1520394736842
2005,LPUK,mercedes,clk220dcpe06,0.0
2009,LPIT,skoda,roomster,834.26
2008,LPFR,mercedes,aii160cdi3p,379.19
2016,LPSE,volkswagen,caddy20tdi90kweu64wd2016,0.0
2008,LPDE,renault,megane16granexception,0.0
2014,LPRO,fiat,ducato,0.0
2005,LPFR,citroen,c5breakpack,405.8071428571428
2011,LPSE,kia,sportage,0.0
2010,LPCZ,mercedes,atego,0.0
2006,LPFR,fiat,ducatoiipcd,1032.785
2014,LPBE,toyota,rav4,752.1388888888887
2013,LPLU,opel,combovc,696.7357142857143
2011,LPUK,toyota,avensis,393.30967391304375
2016,LPIT,ford,transit,2193.457142857143
2007,LPFR,volkswagen,golfv3pste,0.0
2006,LPFR,peugeot,807conforpack,1279.0733333333335
2008,LPIT,renault,grandespace,1827.5737500000002
2008,LPFR,ford,fiestavi3p,764.9074358974358
2011,LPSE,volkswagen,transporter20tdi132kwdsgswb2011,9575.5
2016,LPUK,audi,pacemncpr1625,0.0
2004,LPCZ,subaru,outback,0.0
2014,LPDK,ford,focuscmax,2848.548461538462
2008,LPIT,audi,enia4,754.7199999999999
2004,LPIT,nissanel,pickup4x2,9833.8
2011,LPUK,kia,picanto,109.335
2011,LPSE,volkswagen,golf14tsi122dsgmasters5d2011,2832.0
2015,LPLU,volkswagen,beetle,0.0
2006,LPGR,opel,zafira,585.5
2007,LPFR,peugeot,2073ptrendy,152.51
2013,LPUK,peugeot,207,271.0722222222222
2016,LPLU,bmw,m4,0.0
2016,LPFR,kia,sportage,522.835
2013,LPUK,audi,a4allroad,52.0
2005,LPGR,renault,clio,1108.5
2016,LPBE,lexus,rc,0.0
2011,LPUK,bmw,x65dr12,387.47
2008,LPFR,peugeot,3008,0.0
1997,LPCH,toyota,hiacelwb,8718.0
2011,LPBE,renault,koleos,1119.9466666666667
2005,LPFR,opel,signum19cdti,298.255
2004,LPFR,citroen,c3pluriel,458.9509090909091
2008,LPDE,mercedes,e200cdiclassicdpf,906.735
2010,LPSE,volvo,xc70d5205awdmomentum2011,0.0
2004,LPFR,volkswagen,shuttle,184.58
2005,LPUK,volkswagen,tsptrswb02,0.0
2015,LPRO,mitsubishi,outlander,0.0
2003,LPFR,renault,masteriiil3h1,929.8649999999999
2013,LPSE,audi,a6allroadquat30tdi245hkstronicquattro201,2921.0
2007,LPFR,peugeot,20714hdi,0.0
2005,LPFR,rover,7520cdtibva,217.2975
2008,LPUK,mercedes,c200d4dnw08,351.2977777777778
2007,LPDE,opel,agila13cdtiedition,825.66
2011,LPFR,seat,alhambra,792.3108333333333
2002,LPFR,peugeot,boxerii330mh,709.73125
2007,LPDE,bmw,123ddpf,2551.035
2005,LPCH,seat,alteastylance,1702.0
2007,LPFR,opel,signumcosmo,709.77
2009,LPUK,bmw,x55dr10,20.606666666666666
2007,LPCZ,audi,a8,11325.556666666665
2008,LPUK,honda,crv5dr08,266.412
2004,LPCZ,volvo,xc90,0.0
2018,LPDE,opel,insignia,563.6604444444446
2012,LPRO,bmw,seria3,884.285575
2010,LPUK,toyota,auris5dr09,109.93333333333334
2008,LPSE,ford,transit300m22140mwbmediumroof2008,1759.0
2014,LPDE,landrover,freelander,0.0
2006,LPFR,ford,cmaxghia,126.82000000000001
2006,LPUK,mercedes,slk2002dr06,0.0
2012,LPUK,porsche,panamera412,324.2166666666667
2017,LPBE,porsche,718cayman,0.0
2010,LPSE,saab,95tid4160hkman6linear2011,1095.3333333333333
3911,LPDK,citroen,berlingo,1385.27
2009,LPSE,citroen,berlingohdi92hksxplusfap2009,14301.0
2012,LPBE,opel,meriva,465.73400000000004
2003,LPCZ,renault,kangoo,30000.0
2011,LPDK,renault,scenic,2400.0
2010,LPSE,volvo,xc6024d163awdkinetic2010,18952.0
2010,LPSE,volvo,v50d3150momentum2011,1580.5
2001,LPCZ,audi,allroadquattro,28874.0
2010,LPSE,audi,a4allroadquat20tdi170hkquattro2010,1262.5
2003,LPFR,mercedes,vito112cdi,927.342
2010,LPSE,volvo,s8025ftmomentum2011,3250.0
2005,LPFR,renault,meganepkauth,1346.6200000000001
2006,LPFR,citroen,c8exclusive,854.5609090909091
2012,LPSE,volkswagen,caddy16tdi102hkcomfortline2012,8248.0
2012,LPSE,ford,mondeo20tdci140businessmps5d2012,0.0
2008,LPHU,toyota,hiace,239930.47272727275
2004,LPPL,volkswagen,golf,2352.36
2007,LPFR,mercedes,vianotrendcompacttransfo,1179.97
2004,LPFR,mercedes,e270cdibva,408.12
2007,LPFR,mercedes,aii180cdi,444.51599999999996
2007,LPAT,audi,cooperd,1703.24
2008,LPAT,mercedes,c220cdi,828.2733333333334
2010,LPNL,mazda,3,1098.2422222222222
2010,LPLU,volvo,v70,218.1
2003,LPNL,mercedes,averlengd,115.3
2009,LPNL,chevrolet,tacuma,609.9
2011,LPAT,fiat,ducatokasten28,1606.83
2012,LPAE,audi,q5sline,1458.0
2005,LPPL,volkswagen,lt35dmc25tdi,13964.92
2012,LPAT,bmw,525da,859.28
2007,LPCH,volvo,v70kinetic,2981.2700000000004
2013,LPIT,porsche,cayenne,1076.9242857142858
2013,LPPL,audi,q3,334.18
2009,LPDE,mercedes,c2807gtronicavantgarde,0.0
2006,LPCH,seat,alhambraadva3,1801.1
2006,LPCH,renault,lagunadyna,1202.075
2014,LPAE,chevrolet,royalcaprice,0.0
2008,LPCH,mitsubishi,coltczt,0.01
2000,LPDE,bmw,x330daut,1617.78
2013,LPNL,citroen,c8,1144.41
2005,LPFR,fiat,stradapickup,0.0
2007,LPCH,opel,vectrasport,2267.6625000000004
2009,LPDE,mercedes,c220cdidpfaelegance,2024.96
2014,LPGR,kia,rio,421.625
2007,LPFR,mercedes,b200tdesign,424.32500000000005
2015,LPES,fiat,500l,1206.952
2012,LPSK,bmw,6serie,482.61
2000,LPPT,audi,q5,284.0166666666667
2006,LPSE,volvo,v5024140kineticauto2007,16769.5
2008,LPDE,bmw,525i,1929.3274999999999
2012,LPCH,volkswagen,tourancorsst,2806.67
2007,LPFR,nissan,interstarfg35,0.0
2004,LPCH,toyota,hiacelwb5t,2357.8
2004,LPFR,opel,astraiidelvan,612.14
2008,LPDE,opel,zafira18innovation,1722.5700000000002
2006,LPCH,volvo,v70summum,2224.4
2016,LPCH,citroen,berlingo,2705.7200000000003
2012,LPPT,jaguar,xj,137.81
2014,LPLU,peugeot,206,551.75
2011,LPIT,hyundai,i10,593.14
2010,LPBE,skoda,fabia,304.0133333333334
2015,LPSE,volvo,v6020t5245oceanracebeproauto,11730.0
2012,LPUK,honda,jazz,493.47999999999996
2008,LPPL,fiat,puntogrande,2047.475
2011,LPSE,saab,9319ttid160hklinearautsc2011,16183.0
2012,LPRO,volvo,s60,595.0039
2012,LPUK,isuzu,puprodeo11,398.01
2006,LPSE,citroen,berlingofamily16i16v110hk2005,11876.0
2015,LPLU,opel,corsa,573.16
2010,LPCH,peugeot,boxer,3012.67
2014,LPGR,citroen,ds5,624.0
2013,LPCH,volkswagen,beetle,995.87
2011,LPCH,mercedes,b200,269.05
2018,LPGR,skoda,karoq,0.0
2000,LPDE,ford,mondeotdcighia,858.71
2009,LPBE,honda,frv,3390.28
2009,LPSE,ford,smax20145hkflexifueltitanium2008,9256.666666666666
2011,LPUK,skoda,superbest115,434.755
2007,LPUK,opel,astravan07,95.29
2009,LPDE,mercedes,vito115cdiexkombi,2094.33
2014,LPFR,mazda,6,1333.205
2007,LPFR,audi,a6v627tdi,1239.69
2011,LPDE,seat,alhambra,2430.4275
2016,LPFR,audi,mini3pshoredi,208.1
2006,LPFR,nissan,xtrailii25,246.0
2010,LPUK,mitsubishi,lancer5dr10,271.32
2009,LPFR,bmw,325d4portes,801.785
2007,LPSE,ford,mondeo25ttitaniumx2008,14866.0
2005,LPFR,toyota,rav4iii150,310.904
2008,LPFR,fiat,punto35pteam,424.05
2011,LPDE,volvo,v50dpfd4rdesign,2828.01
2012,LPUK,mercedes,ml300d5dr11,910.46
2006,LPFR,volkswagen,sharanii,677.1766666666666
2009,LPFR,volkswagen,golftdiste3p,3088.97
2015,LPDE,jaguar,xe20dautprestige,3242.59
2007,LPUK,renault,cliocampvn07,1035.66
2014,LPUK,skoda,citigo5dr14,332.16
2007,LPIT,honda,civic,1197.98
2007,LPFR,renault,gdsceniccarmi,1029.4
2007,LPFR,bmw,330dacoupe,1324.4
2006,LPFR,audi,a3ii20fsi,961.88
2007,LPFR,kia,sorentoexmajo,893.2550000000001
2006,LPFR,volvo,v70iikinetic,997.3199999999999
2010,LPUK,volvo,xc60awd105,49.94
2010,LPFR,mercedes,rclass350lng,231.34
2010,LPFR,renault,koleosstecarm,1107.93
2008,LPIT,jeep,commander,2803.4
2007,LPUK,opel,astracc075,614.03
2012,LPDE,opel,meriva17cdtiselection,1390.02
2010,LPFR,kia,carnivalbest,2438.31
2010,LPUK,kia,carens7st095,517.12
1999,LPSE,volkswagen,transporter,7046.0
2015,LPFR,suzuki,vitara,273.85
2008,LPFR,toyota,aygo5psport,673.98
2009,LPFR,citroen,c8hdi173fp,1479.3
2015,LPFR,peugeot,207,168.67
2009,LPDE,volkswagen,jetta20tdidsportline,1669.98
2013,LPUK,bmw,ahybrid3135,757.64
2008,LPSE,toyota,avensis22d4d177hkkombibusiness+man,18298.0
2009,LPFR,fiat,sedicidynamic,427.36
2014,LPDE,seat,toledo,4021.18
2011,LPFR,bmw,123da3portes,465.62
2013,LPUK,bmw,316itrg135,0.0
1996,LPSK,toyota,rav4,0.0
2002,LPSK,volkswagen,caddy,0.0
2013,LPSK,bmw,1serie,127.37333333333333
2002,LPAT,bmw,525ia,0.0
2002,LPAT,volkswagen,kastentdi,0.0
2008,LPCZ,ford,transitconnect,0.0
2016,LPPT,seat,leon,241.95359413202925
2001,LPAT,ford,mondeo,0.0
2010,LPNL,yamaha,neos4,0.0
2004,LPNL,volkswagen,caddy,927.586756756757
2000,LPES,skoda,pickupabierto,0.0
2003,LPAT,ford,focusambiente,0.0
2013,LPNL,mitsubishi,outlander,1314.2923318385651
2000,LPES,audi,a6avant,215.86666666666667
2005,LPNL,diversen,diverse,0.0
2002,LPNL,volvo,fm,0.0
2004,LPES,peugeot,307sw,256.6900961538462
2003,LPAT,audi,a6allroadqu,0.0
2001,LPAT,ford,escort5518,0.0
2011,LPNL,honda,jazz,1009.2908333333336
2010,LPNL,volkswagen,caddy,1273.912537313433
2007,LPNL,mercedes,glclass,0.0
2000,LPES,seat,cordobavario,350.8
1998,LPFI,volkswagen,transporter,32.857142857142854
2001,LPES,bmw,318ci,0.0
2002,LPES,opel,vectragts,690.0333333333333
2000,LPES,mercedes,clk430,0.0
2002,LPFI,volvo,s40,0.0
2004,LPAT,peugeot,307breakxs,0.0
2005,LPAT,opel,combovc,607.9263636363637
2006,LPNL,bmw,118,572.6566666666669
2010,LPNL,opel,astra,1041.9582894736843
2007,LPIE,mercedes,bclass,131.5
2004,LPAT,volkswagen,touran19tdi,0.0
2009,LPNL,ford,fiesta,661.2819999999999
2003,LPNL,opel,movano,438.40599999999995
2010,LPES,audi,q5,543.3605263157893
2006,LPAT,volvo,v70,0.0
2011,LPNL,scania,g420,0.0
2009,LPES,maqespecial,remolque,0.0
2004,LPAT,renault,masterkasl3h2,0.0
2003,LPPT,peugeot,30720hdi110,0.0
2007,LPNL,opel,agila,566.7666666666668
1999,LPDE,anhnger,wuellhorstfda2achsanh,0.0
2008,LPAT,volkswagen,multivan25tdi,838.7180000000001
2006,LPES,peugeot,206,363.96241935483874
2010,LPBR,fiat,idea,0.0
2008,LPHU,opel,astra,130124.83345360827
2015,LPFI,volkswagen,passat,169.2499290780142
2000,LPDE,mercedes,416cdisprinterkofferaufblbw,0.0
2017,LPIN,marutisuzuki,mulbalenodsl,0.0
2011,LPIN,marutisuzuki,mulsx4,0.0
2016,LPIE,audi,a5,0.0
2003,LPIE,nissan,kubistar,392.462
2006,LPES,seat,cordoba,459.5377272727271
2007,LPFI,lexus,gs,0.0
2013,LPAT,renault,masterdkkal2,0.0
2006,LPDE,mercedes,db1828laxortkkkofferlbw,0.0
2003,LPES,seat,ibizasport,499.797
2005,LPES,fiat,seicentovans,248.66666666666666
2012,LPIN,audi,audiq5,0.0
2004,LPES,renault,master,998.4780000000001
2013,LPIN,marutisuzuki,mulomni,0.0
2006,LPFI,mercedes,rclass,0.0
2002,LPES,citroen,xsaraexclusive,605.41
2018,LPIE,volvo,xc90,0.0
2000,LPES,seat,incakombicl,1539.04
1999,LPHU,saab,09may,17740.0
2010,LPBR,mitsubishi,l200,0.0
2003,LPFI,peugeot,607,2432.0
2003,LPES,daf,va435fm,0.0
1994,LPAE,jcb,3cxsitemaster,0.0
2003,LPES,peugeot,expertcombi8,771.0366666666667
2010,LPIN,honda,hondacity,0.0
2007,LPLU,bmw,1,320.29833333333335
2017,LPIN,skoda,skodalauradsl,0.0
2014,LPAE,mazda,mazda6s,0.0
2006,LPPT,mazda,3,239.67583333333332
2000,LPDE,opel,vectra19cdtisport,815.8219999999999
2007,LPPT,opel,vivarovc,1851.6135754189943
2017,LPNO,mitsubishi,imiev,0.0
2012,LPAT,bmw,3serie,957.3152631578948
2006,LPLU,skoda,octavia,232.98000000000002
2016,LPTR,audi,a3,979.4767741935485
2004,LPCH,ford,focuscele,0.0
2016,LPMX,volkswagen,touareg,0.0
2013,LPPL,ford,mondeo,1366.8469714285704
2013,LPFI,ford,galaxy,115.68166666666667
2005,LPNL,mazda,mpv,0.0
2008,LPFI,mazda,5,192.68615384615384
2006,LPPT,toyota,avensis,204.9575
2013,LPFI,mitsubishi,asx,152.29
2015,LPNO,volvo,fh,0.0
2006,LPLU,volkswagen,caddy,121.41333333333334
2006,LPLU,fiat,ducato,0.0
2005,LPCH,renault,lagunainitiale,863.6700000000001
2013,LPMX,subaru,xv,0.0
2012,LPAT,mercedes,mclass,156.02
2005,LPDK,man,le12220,0.0
2011,LPES,volvo,xc60,540.9540178571426
2012,LPES,volkswagen,sharan,1120.8796296296296
2014,LPNO,mazda,cx5,6762.493023255814
2002,LPES,suzuki,samurailbody,1606.8
2007,LPLU,volkswagen,touareg,0.0
2003,LPHU,citroen,c5,16536.666666666668
2014,LPPT,peugeot,508,517.0281632653063
2000,LPDE,opel,signum19cdti,0.0
2008,LPPT,fiat,ducato,858.3142857142857
2013,LPFI,chevrolet,orlando,31.2
2011,LPES,landrover,discovery,1014.58375
2013,LPNL,chevrolet,captiva,0.0
2003,LPPT,alfaromeo,166,0.0
2010,LPFI,volvo,xc70,648.92
2012,LPIT,volkswagen,touareg,1078.8751515151512
2007,LPES,bmw,z4,294.04333333333335
2012,LPLU,volkswagen,scirocco,529.8133333333334
2007,LPNO,toyota,dynavare,0.0
2001,LPLU,renault,laguna,0.0
2000,LPPT,mercedes,s400cdi,0.0
2005,LPCH,opel,vectraelegance,1276.2420000000002
2013,LPPT,toyota,avensis,291.188
2013,LPSK,volkswagen,passat,362.7426744186046
2012,LPSE,volvo,v70,2891.238021638331
2016,LPNL,kia,proceed,0.0
2007,LPDE,opel,astra,1762.2659459459458
2008,LPNO,nissan,xtrail,6523.245555555556
2003,LPUK,nissan,navara02,0.0
2013,LPLU,peugeot,807,148.15833333333333
2007,LPBE,ford,mondeo,700.9026060606059
2011,LPDE,bmw,x1,1430.1531683168316
2006,LPBE,bmw,1,453.3289261744966
2006,LPHU,fiat,doblo,62787.63083333333
2003,LPPT,honda,accord,0.0
2010,LPBE,ford,smax,673.2481818181816
2016,LPFI,mercedes,glaclass,0.0
2009,LPNO,citroen,c5,4033.625
2014,LPGR,mitsubishi,asx,419.0
2015,LPBE,mercedes,eclass,5.093063583815029
2008,LPPL,volvo,xc90,0.0
2015,LPLU,citroen,nemo,756.0825
2016,LPNO,audi,a4allroad,0.0
2017,LPES,kia,niro,0.0
2011,LPSK,renault,megane,224.54045454545448
2011,LPNO,scania,r360dblast,0.0
2007,LPTR,mercedes,bclass,139.22
2006,LPSE,volkswagen,caddyskp70hktdi2006,0.0
2014,LPPT,audi,a1,240.408
2009,LPNO,opel,combovc,13402.108108108108
2011,LPNO,iveco,120e25fplast,0.0
2012,LPGR,audi,q3,422.0952380952381
2007,LPUK,renault,masterlwb06,1105.525
2004,LPIT,fordel,fiesta,573.27
2008,LPBE,opel,movano,2556.305
2010,LPSE,volkswagen,transporterpickup140hkdsgtdi30tswb201,0.0
2006,LPIE,nissan,xtrail,743.6105263157896
2007,LPPT,landrover,defender,0.0
2010,LPNO,mitsubishi,l200,4502.0
2007,LPIT,mitsubishiel,l20025doubc,2394.475
2013,LPTR,citroen,c4grandpicasso,1675.8149999999998
2005,LPSE,volkswagen,transporter25tdi128kwautoswb2005,10701.0
2004,LPFR,peugeot,partnerii190c,760.0966666666665
2011,LPTR,nissan,xtrail,0.0
2014,LPRO,renault,clio,868.3598923076922
2012,LPBE,mercedes,glclass,0.0
2007,LPPT,mercedes,c320,283.4533333333333
2005,LPDE,mercedes,e320tcdi7gavantgardedpf,946.9733333333334
2004,LPCH,bmw,530i,0.0
2006,LPDE,ford,mondeo20turntitanium,2518.4377777777772
2006,LPBE,chrysler2+2,grandvoyager,0.0
2002,LPBE,citroen,jumper35lh,2668.4366666666665
2004,LPIT,mercedesel,slk350,266.7
2012,LPLU,dacia,lodgy,0.0
2002,LPHU,peugeot,partner,244362.0
2016,LPBE,kia,soulev,0.0
2017,LPCH,opel,insignia,0.0
2009,LPPL,bmw,3serie,806.3342857142858
2000,LPCZ,nissan,maxima30,11604.0
2014,LPTR,landrover,range,986.69
2014,LPTR,citroen,c3,577.28
2006,LPFR,volkswagen,touaregr5tdi,313.8183333333333
